id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,7.7,0.61,0.0,2.1,0.088,10.0,26.0,0.9958,3.26,0.61,9.4,6.0
1,7.4,0.5,0.0,2.6,0.08,11.0,86.0,0.9976,3.36,0.54,9.2,6.0
2,5.5,0.64,0.02,1.7,0.073,12.0,27.0,0.99704,3.53,0.54,12.0,7.0
3,7.1,0.45,0.42,2.2,0.078,21.0,53.0,0.99578,3.02,0.53,9.5,5.0
4,8.7,0.63,0.18,2.4,0.077,11.0,26.0,0.9971,3.25,0.61,10.0,6.0
5,8.0,0.34,0.32,2.4,0.074,29.0,49.0,0.9974,3.33,0.64,10.9,5.0
6,8.4,0.6,0.2,2.6,0.079,5.0,14.0,0.9976,3.32,0.52,9.5,5.0
7,8.2,0.52,0.25,2.8,0.078,5.0,13.0,0.99586,3.14,0.6,9.5,5.0
8,8.3,0.69,0.17,2.6,0.074,6.0,15.0,0.99592,3.38,0.73,9.7,6.0
9,11.4,0.5,0.49,3.4,0.077,9.0,12.0,0.99786,3.22,0.74,12.2,7.0
10,9.1,0.56,0.49,2.4,0.08,13.0,35.0,0.9976,3.26,0.67,10.6,6.0
11,9.0,0.65,0.23,2.1,0.064,19.0,50.0,0.99562,3.39,0.56,11.0,5.0
12,9.0,0.4,0.49,2.5,0.091,6.0,14.0,0.9994,3.17,0.77,10.5,5.0
13,7.6,0.32,0.49,2.3,0.071,15.0,33.0,0.998,3.31,0.87,9.5,5.0
14,7.2,0.655,0.06,1.4,0.105,12.0,77.0,0.99538,3.32,0.56,10.0,6.0
15,8.1,0.43,0.42,2.3,0.066,6.0,15.0,0.99648,3.21,0.77,11.4,8.0
16,5.0,0.6,0.12,1.8,0.078,18.0,72.0,0.9966,3.53,0.67,10.0,6.0
17,6.5,0.68,0.03,1.9,0.078,7.0,26.0,0.99504,3.55,0.61,9.8,5.0
18,7.3,0.73,0.03,1.6,0.076,12.0,31.0,0.99546,3.55,0.56,10.0,6.0
19,6.8,0.685,0.0,1.9,0.094,4.0,12.0,0.99557,3.54,0.66,10.9,5.0
20,7.6,0.3,0.46,2.5,0.091,12.0,29.0,0.9996,3.17,0.67,9.1,6.0
21,6.8,0.4,0.01,1.9,0.078,11.0,31.0,0.9972,3.44,0.91,10.4,5.0
22,7.0,0.43,0.3,2.3,0.0819999999999999,7.0,31.0,0.9962,3.39,0.56,11.4,5.0
23,9.8,0.38,0.46,1.7,0.078,5.0,12.0,0.9998,3.28,0.6,11.0,6.0
24,8.2,0.5,0.25,3.6,0.0969999999999999,7.0,31.0,0.9981,3.38,0.53,10.2,5.0
25,7.8,0.46,0.31,1.9,0.08,12.0,38.0,0.9959,3.21,0.82,9.3,6.0
26,7.4,0.43,0.26,2.1,0.0819999999999999,32.0,64.0,0.9972,3.38,0.52,9.4,6.0
27,6.6,0.67,0.0,2.3,0.067,26.0,47.0,0.9988,3.35,0.57,11.2,6.0
